,Name,ReviewsCount,Brand,ImageUrl,Rating
1686,"Electric Shaver, Triple Shaving Time Electric Rotary Razor for Wet Dry Shaving Waterproof Cordless with Pop-up Trimmer USB Rechargeable",4,moosoo,https://i5.walmartimages.com/asr/e7dcd553-90df-4cf8-8509-bc8035673838.f4f6365105fe9eb0af1bccab5d54b212.jpeg | https://i5.walmartimages.com/asr/5eb0db2d-d3cf-48ba-9017-67bf26d2600f.8d0dd42287deaf6d2b999aa842161d0e.jpeg | https://i5.walmartimages.com/asr/49f1fbb4-b36d-4032-bdf2-9d8402d5ec4d.14532a165720504c8c1d102920bced28.jpeg | https://i5.walmartimages.com/asr/70c133b3-8386-4322-9513-315b33ec21b4.f52654b1dcdd657c6fc6b505c3783a71.jpeg | https://i5.walmartimages.com/asr/b5a354b4-6b28-4cf9-95c5-13a95ea05a62.07b544b8fb25ad4f835d91e69a85daa1.jpeg | https://i5.walmartimages.com/asr/971d2944-630e-4f01-b854-64c121d77973.2edef59cf6780c2f978a33806315662e.jpeg | https://i5.walmartimages.com/asr/80b8528c-08a6-44bd-af75-3aaaa82ed233.d9b9c9a273ad3fe373e15ac16fab5a9d.jpeg | https://i5.walmartimages.com/asr/c4ef66b8-bc76-482e-9a01-82a5317b59be.1ba2aa4f09cf81b14047d6e88b73f51d.jpeg | https://i5.walmartimages.com/asr/6fe4642d-1c1e-4d93-977d-93db17bc37b4.ce7bcefc6486ad1739613c9948c70382.png | https://i5.walmartimages.com/asr/1574b3de-51ba-4146-b65d-c42df0f4478e.5da6e7b5df73f83c7303a25ff2bde2de.jpeg,5
526,"Alaffia Body Lotion, Vanilla, 32 Oz",2,alaffia,https://i5.walmartimages.com/asr/2988c323-cb6f-4a45-9bd7-9029d981630c_1.d65b6410f1b5a72233cdab07e25e153b.jpeg | https://i5.walmartimages.com/asr/c773f069-a99d-4d06-a4ff-d4c839063929_1.3a72dc9092da4efd57530dc86a077c6d.jpeg,5
2053,"Gold Bond Ultimate Ultimate Healing Lotion, Aloe 1 oz",2,"gold,bond",https://i5.walmartimages.com/asr/34b610e7-05db-490d-bcc0-80c49addc55b_1.00c3ccc68683f75d9cc0021b3a79d01d.jpeg,5
4716,"Versace Man Eau Fraiche Eau De Toilette Spray, Cologne for Men, 1 Oz",24,versace,https://i5.walmartimages.com/asr/edaaeed5-9da0-48b8-861f-50165d5fd930_1.3c03e869a55226a4718f313c00f76071.png | https://i5.walmartimages.com/asr/e57d2d1a-cf1d-4c4f-9721-3d83af729eaf_1.51af97bdaa2a960be97936a8011931fb.jpeg,5
2058,Goldwell StyleSign 1 Flat Marvel Straightening Balm for Unisex 3.3 oz,2,goldwell,https://i5.walmartimages.com/asr/3bf90289-6980-4545-8405-71a08856cd89_1.53ece55389c0533a22773476c0c48841.jpeg,5
3842,"Red Devil 0322 Steel Wool # 00 Very Fine, 8 Pack Bag",1,"red,devil",https://i5.walmartimages.com/asr/60bfe5ba-774c-40bc-9cb7-42d4fd291767_1.9e569a7fbef1bd802ceb8b175db6e4ec.jpeg | https://i5.walmartimages.com/asr/0daa7bee-ea46-4202-bce2-95ace6787949_1.8ab55949465d49c29e3e1b9bbf36ed29.jpeg | https://i5.walmartimages.com/asr/d0da4c6b-6aab-44cd-9ce6-e16d831f81ad_1.174b7188471bd5f0fe0212de94674d9f.jpeg,5
510,"Air Wick Plug in Starter Kit, Warmer + 1 Refill, Pumpkin Spice, Scented Oil, Air Freshener, Essential Oils",1,"air,wick",https://i5.walmartimages.com/asr/0fac65b2-c6aa-442f-8952-4d707fef499c.131f9d6b8fc8e3c8bd7fe36bc7974a77.jpeg | https://i5.walmartimages.com/asr/5b494737-e35f-4417-9cd6-11ba9a494a72_1.356fa332e0010f54590538d4bac64566.jpeg | https://i5.walmartimages.com/asr/cd404af3-4198-463e-8b45-5920233d4220_1.3ad427e481279750c6904477d5fa3157.jpeg | https://i5.walmartimages.com/asr/9a093fb5-0fee-4e44-9dec-ef84e37ad47a_1.4d630fb3f617be8ef703b6381ea1d036.png | https://i5.walmartimages.com/asr/978dc0f5-f833-4146-9a08-ca9c2ce9c8e8_1.13cba39da04fb9e6ffdf81701909bb1e.jpeg | https://i5.walmartimages.com/asr/bc010191-5156-473d-aa48-f6e8f11020b6_1.064462d2724b53435feea45aad25e9f8.jpeg | https://i5.walmartimages.com/asr/8edba07d-018a-4487-9668-55b3c36096b0_1.3ac8aa9346d0446c8a70a6d4835d01ee.png | https://i5.walmartimages.com/asr/70807d7d-a82f-4483-aa58-8df4a7acdb11_1.2e7a0be154ecac966631f0c84bdc3556.jpeg,5
3841,"Recovery Complex Anti-Frizz Shine Serum by Bain de Terre for Unisex, 4.2 oz",4,"bain,de,terre",https://i5.walmartimages.com/asr/fcdb4d2e-3727-4bc4-bb2a-63c585c236b0_1.4c8c7111e5dde79bad7e54b6f71a8781.jpeg | https://i5.walmartimages.com/asr/1e8c5630-bd1b-42bf-b29b-328734e30ea1_1.1c9ebfea6bdb2db875f2dad0f9e29b76.jpeg | https://i5.walmartimages.com/asr/a0be5e6f-2b7d-4949-a146-c6d36fc1e3bc_1.f3060628a171205ba3854294a3a300fc.jpeg | https://i5.walmartimages.com/asr/681df146-a265-4f3e-87ed-face6fffcd8a_1.845d323e06801631b2ecaf4a5a3b21d2.jpeg,5
2687,Long Aid Extra Dry Formula Curl Activator Gel 16.4 oz Jar,12,"long,aid",https://i5.walmartimages.com/asr/f7f29199-bfa5-4ec5-ab44-48ec857b4848_1.2d5b97f66156dbf2cf97aeebddd4ff03.jpeg | https://i5.walmartimages.com/asr/ff47755c-0647-4cc7-9887-264b9a42d362_1.80061884b6a45f6c7db1138544041939.jpeg | https://i5.walmartimages.com/asr/eda9cd54-a4f1-4f12-bb7a-c54289d6515f_1.90a4bdefd4930d760113d91e0c227092.jpeg | https://i5.walmartimages.com/asr/08329491-d940-4b20-bc1b-f7386fdbc5cf_1.6e70660891219878543178e88b6fe487.jpeg | https://i5.walmartimages.com/asr/05137f8e-cd93-4f1e-b96b-882705a7a740_1.98624e801e5ebeba37049b01c236c8ac.jpeg | https://i5.walmartimages.com/asr/d1773e11-1f07-47cd-849e-2d68195c2cc6_1.7d3b34c7ef78517aa2a2869ca1a948f5.jpeg,5
2062,"Good Sense 60-Day Air Care System, Citrus, 2 oz, 6/Carton",1,diversey,https://i5.walmartimages.com/asr/025a7068-7bb1-491e-b9ef-f444ba38f719_1.a1f29ce8fdd3a6867b840948f74ca585.jpeg | https://i5.walmartimages.com/asr/9e7837d6-09cc-4878-9cbd-52fed0f28ff4_1.2a7a9136458ccc3c084eed27c8627d2a.jpeg,5
